iter	RMSE
2975	0.1347608544
2976	0.1347002271
2977	0.1346648177
2978	0.1346246359
2979	0.1345864187
2980	0.1345361283
2981	0.1344480115
2982	0.1343505131
2983	0.1343452636
2984	0.1342813887
2985	0.1341518286
2986	0.1340797848
2987	0.1340085284
2988	0.1340079318
2989	0.1339559556
2990	0.1338870317
2991	0.1338860475
2992	0.1337998745
2993	0.1336993811
2994	0.1336257102
2995	0.1335621314
2996	0.1335198056
2997	0.1334825267
2998	0.1334328411
2999	0.1333784922
3000	0.1333526672
3001	0.1333233955
3002	0.1332723112
3003	0.1331879183
3004	0.133116938
3005	0.1330260901
3006	0.1329653393
3007	0.132956686
3008	0.1329401833
3009	0.1329101906
3010	0.132881378
3011	0.1328087568
3012	0.1327914721
3013	0.1327458997
3014	0.1327448128
3015	0.1327071545
3016	0.1326818683
3017	0.1326603483
3018	0.1326419617
3019	0.1325878333
3020	0.1325511484
3021	0.1325368951
3022	0.1325354921
3023	0.1325291243
3024	0.1325190599
3025	0.1324750508
3026	0.1324728686
3027	0.1324029994
3028	0.1323492874
3029	0.1322685782
3030	0.1322267298
3031	0.1321749857
3032	0.1321098294
3033	0.1320443434
3034	0.1320423158
3035	0.1319974861
3036	0.1319943077
3037	0.131992445
3038	0.1318936595
3039	0.1318279758
3040	0.1317640462
